ticker,date,position_type,trade_type,entry_price,exit_price,return,signal,num_shares,portfolio_value_start,portfolio_value_end
AAPL,2023-01-13 00:00:00+00:00,long,buy,133.58,,,long,748.0,100000.0,
AAPL,2023-01-24 00:00:00+00:00,long,sell,,141.24,,short,748.0,,105729.68
AAPL,2023-01-30 00:00:00+00:00,long,buy,144.43,,,long,732.0,105729.68,
AAPL,2023-02-03 00:00:00+00:00,long,sell,,145.45,,short,732.0,,106476.31999999998
AAPL,2023-02-06 00:00:00+00:00,long,buy,152.94,,,long,696.0,106476.31999999998,
AAPL,2023-02-14 00:00:00+00:00,long,sell,,153.66,,short,696.0,,106977.43999999997
AAPL,2023-02-21 00:00:00+00:00,long,buy,150.74,,,long,709.0,106977.43999999997,
AAPL,2023-02-24 00:00:00+00:00,long,sell,,148.72,,short,709.0,,105545.25999999997
AAPL,2023-03-01 00:00:00+00:00,long,buy,148.13,,,long,712.0,105545.25999999997,
AAPL,2023-03-08 00:00:00+00:00,long,sell,,151.71,,short,712.0,,108094.21999999997
AAPL,2023-03-13 00:00:00+00:00,long,buy,150.55,,,long,717.0,108094.21999999997,
AAPL,2023-03-21 00:00:00+00:00,long,sell,,157.5,,short,717.0,,113077.36999999997
AAPL,2023-03-24 00:00:00+00:00,long,buy,159.55,,,long,708.0,113077.36999999997,
AAPL,2023-03-28 00:00:00+00:00,long,sell,,158.05,,short,708.0,,112015.36999999997
AAPL,2023-03-29 00:00:00+00:00,long,buy,158.43,,,long,707.0,112015.36999999997,
AAPL,2023-05-05 00:00:00+00:00,long,sell,,169.61,,short,707.0,,119919.62999999996
AAPL,2023-05-15 00:00:00+00:00,long,buy,173.06,,,long,692.0,119919.62999999996,
AAPL,2023-06-01 00:00:00+00:00,long,sell,,177.8,,short,692.0,,123199.70999999996
AAPL,2023-06-28 00:00:00+00:00,long,buy,187.98,,,long,655.0,123199.70999999996,
AAPL,2023-06-30 00:00:00+00:00,long,sell,,190.5,,short,655.0,,124850.30999999997
AAPL,2023-07-11 00:00:00+00:00,long,buy,188.8,,,long,661.0,124850.30999999997,
AAPL,2023-07-21 00:00:00+00:00,long,sell,,193.37,,short,661.0,,127871.07999999997
AAPL,2023-07-25 00:00:00+00:00,long,buy,193.53,,,long,660.0,127871.07999999997,
AAPL,2023-08-14 00:00:00+00:00,long,sell,,178.3,,short,660.0,,117819.27999999998
AAPL,2023-09-06 00:00:00+00:00,long,buy,188.54,,,long,624.0,117819.27999999998,
AAPL,2023-09-12 00:00:00+00:00,long,sell,,179.53,,short,624.0,,112197.04
AAPL,2023-09-18 00:00:00+00:00,long,buy,175.76,,,long,638.0,112197.04,
AAPL,2023-09-22 00:00:00+00:00,long,sell,,174.51,,short,638.0,,111399.54
AAPL,2023-10-04 00:00:00+00:00,long,buy,170.0,,,long,655.0,111399.54,
AAPL,2023-10-05 00:00:00+00:00,long,sell,,173.17,,short,655.0,,113475.88999999998
AAPL,2023-10-09 00:00:00+00:00,long,buy,176.06,,,long,644.0,113475.88999999998,
AAPL,2023-10-17 00:00:00+00:00,long,sell,,178.57,,short,644.0,,115092.32999999999
AAPL,2023-11-03 00:00:00+00:00,long,buy,172.12,,,long,668.0,115092.32999999999,
AAPL,2023-12-06 00:00:00+00:00,long,sell,,193.75,,short,668.0,,129541.16999999998
AAPL,2023-12-07 00:00:00+00:00,long,buy,192.2,,,long,673.0,129541.16999999998,
AAPL,2023-12-13 00:00:00+00:00,long,sell,,194.7,,short,673.0,,131223.66999999998
AAPL,2023-12-15 00:00:00+00:00,long,buy,198.3,,,long,661.0,131223.66999999998,
